index,name,type,RA,dec,mag
0,M1,    SuperÂ­nova remnant ,        5.575,22.0167,8.2
1,M2,    Globular cluster ,         21.5583,0.8167,6.5
2,M3,    Globular cluster ,         13.7033,28.3833,6.4
3,M4,    Globular cluster ,         16.3933,-26.5333,5.9
4,M5,    Globular cluster ,         15.31,2.0833,5.8
5,M6,    Open cluster ,             17.6683,-32.2167,4.2
6,M7,    Open cluster ,             17.8983,-34.8167,3.3
7,M8,    Nebula with cluster ,      18.0633,-24.3833,6.8
8,M9,    Globular cluster ,         17.32,-18.5167,7.9
9,M10,   Globular cluster ,         16.9517,-4.1,6.6
10,M11,  Open cluster ,             18.8517,-6.2667,5.8
11,M12,  Globular cluster ,         16.7867,-1.95,6.6
12,M13,  Globular cluster ,         16.695,36.4667,5.9
13,M14,  Globular cluster ,         17.6267,-3.25,7.6
14,M15,  Globular cluster ,         21.5,12.1667,6.4
15,M16,  H II region nebula with cluster ,  18.3133,-13.7833,6.4
16,M17,  H II region nebula with cluster ,  18.3467,-16.1833,7.5
17,M18,  Open cluster ,             18.3317,-17.1333,6.9
18,M19,  Globular cluster ,         17.0433,-26.2667,7.2
19,M20,  H II region nebula with cluster ,  18.0433,-23.0333,9
20,M21,  Open cluster ,             18.0767,-22.5,5.9
21,M22,  Globular cluster ,         18.6067,-23.9,5.1
22,M23,  Open cluster ,             17.9467,-19.0167,5.5
23,M24,  Milky Way star cloud ,     18.2817,-18.4833,4.6
24,M25,  Open cluster ,             18.5267,-19.25,4.6
25,M26,  Open cluster ,             18.7533,-9.4,8
26,M27,  Planetary nebula ,         19.9933,22.7167,7.6
27,M28,  Globular cluster ,         18.4083,-24.8667,6.9
28,M29,  Open cluster ,             20.3983,38.5333,6.6
29,M30,  Globular cluster ,         21.6733,-23.1833,7.5
30,M31,  Spiral galaxy ,            0.7117,41.2667,4.8
31,M32,  Dwarf elliptical galaxy ,  0.7117,40.8667,8.7
32,M33,  Spiral galaxy ,            1.565,30.65,6.3
33,M34,  Open cluster ,             2.7,42.7833,5.5
34,M35,  Open cluster ,             6.1483,24.3333,5.3
35,M36,  Open cluster ,             5.6017,34.1333,6
36,M37,  Open cluster ,             5.8733,32.55,5.6
37,M38,  Open cluster ,             5.4783,35.8333,6.4
38,M39,  Open cluster ,             21.5367,48.4333,4.6
39,M40,  Optical Double ,           12.3733,58.0833,9.1
40,M41,  Open cluster ,             6.7833,-20.7333,4.6
41,M42,  H II region nebula ,       5.59,-5.45,2.9
42,M43,  H II region nebula (part of the Orion Nebula),     5.5933,-5.2667,6.9
43,M44,  Open cluster ,             8.6683,19.9833,3.1
44,M45,  Open cluster ,             3.7833,24.1167,1.2
45,M46,  Open cluster ,             7.6967,-14.8167,6.1
46,M47,  Open cluster ,             7.61,-14.5,4.5
47,M48,  Open cluster ,             8.23,-5.8,5.8
48,M49,  Elliptical galaxy ,        12.4967,8.0,8.4
49,M50,  Open cluster ,             7.0533,-8.3333,5.9
50,M51,   Spiral galaxy,            13.4983,47.2,8.4
51,M52,   Open cluster,             23.4033,61.5833,6.9
52,M53,   Globular cluster,         13.215,18.1667,7.7
53,M54,   Globular cluster,         18.9183,-30.4833,7.7
54,M55,   Globular cluster,         19.6667,-30.9667,7
55,M56,   Globular cluster,         19.2767,30.1833,8.3
56,M57,   Planetary nebula,         18.8933,33.0333,9.3
57,M58,   Barred Spiral galaxy,     12.6283,11.8167,9.8
58,M59,   Elliptical galaxy,        12.7,11.65,9.8
59,M60,   Elliptical galaxy,        12.7283,11.55,8.8
60,M61,   Spiral galaxy,            12.365,4.4667,9.7
61,M62,   Globular cluster,         17.02,-30.1167,6.6
62,M63,   Spiral galaxy,            13.2633,42.0333,8.6
63,M64,   Spiral galaxy,            12.945,21.6833,8.5
64,M65,   Barred Spiral galaxy,     11.315,13.0833,9.3
65,M66,   Barred Spiral galaxy,     11.3367,12.9833,9
66,M67,   Open cluster,             8.84,11.8167,6.9
67,M68,   Globular cluster,         12.6583,-26.75,8.2
68,M69,   Globular cluster,         18.5233,-32.35,7.7
69,M70,   Globular cluster,         18.72,-32.3,8.1
70,M71,   Globular cluster,         19.8967,18.7833,8.3
71,M72,   Globular cluster,         20.8917,-12.5333,9.4
72,M73,   Asterism,                 20.9817,-12.6333,9
73,M74,   Spiral galaxy,            1.6117,15.7833,9.2
74,M75,   Globular cluster,         20.1017,-21.9167,8.6
75,M76,   Planetary nebula,         1.7067,51.5667,12.2
76,M77,   Spiral galaxy,            2.7117,0.0167,8.9
77,M78,   Diffuse nebula,           5.7783,0.05,10.5
78,M79,   Globular cluster,         5.4083,-24.55,8.4
79,M80,   Globular cluster,         16.2833,-22.9833,7.2
80,M81,   Spiral galaxy,            9.9267,69.0667,6.9
81,M82,   Starburst galaxy,         9.93,69.6833,8.4
82,M83,   Barred Spiral galaxy,     13.6167,-29.8667,8.2
83,M84,   Lenticular galaxy,        12.4183,12.8833,9.3
84,M85,   Lenticular galaxy,        12.4233,18.1833,9.3
85,M86,   Lenticular galaxy,        12.4367,12.95,9.2
86,M87,   Elliptical galaxy,        12.5133,12.4,8.6
87,M88,   Spiral galaxy,            12.5333,14.4167,9.5
88,M89,   Elliptical galaxy,        12.595,12.55,9.8
89,M90,   Spiral galaxy,            12.6133,13.1667,9.5
90,M91,   Barred Spiral galaxy,         12.59,14.5,10.2
91,M92,   Globular cluster,         17.285,43.1333,6.5
92,M93,   Open cluster,             7.7433,-23.8667,6.2
93,M94,   Spiral galaxy,            12.8483,41.1167,8.2
94,M95,   Barred Spiral galaxy,         10.7333,11.7,9.7
95,M96,   Spiral galaxy,            10.78,11.8167,9.1
96,M97,   Planetary nebula,         11.2467,55.0167,12
97,M98,   Spiral galaxy,            12.23,14.9,10.1
98,M99,   Spiral galaxy,            12.3133,14.4167,9.8
99,M100,  Spiral galaxy,            12.3817,15.8167,9.4
100,M101, Spiral galaxy,            14.0533,54.35,7.7
101,M102, Lenticular galaxy,        14.0533,54.35,7.7
102,M103, Open cluster,             1.5533,60.7,7.4
103,M104, Spiral galaxy,            12.6667,-11.6167,8.3
104,M105, Elliptical galaxy,        10.7967,12.5833,9.2
105,M106, Spiral galaxy,            12.3167,47.3,8.3
106,M107, Globular cluster,         16.5417,-13.05,8.1
107,M108, Barred Spiral galaxy,     11.1917,55.6667,10.1
108,M109, Barred Spiral galaxy,     11.96,53.3833,9.8
109,M110, Dwarf elliptical galaxy,  0.6733,41.6833,9.4
